6	Q0	7822	0	1	Caleb
6	Q0	23084	0	2	Caleb
6	Q0	34292	0	3	Caleb
6	Q0	103946	0	4	Caleb
6	Q0	153816	0	5	Caleb
26117	Q0	4029	0	1	Caleb
26117	Q0	65454	0	2	Caleb
26117	Q0	24667	0	3	Caleb
26117	Q0	150363	0	4	Caleb
26117	Q0	125324	0	5	Caleb
7180	Q0	2806	0	1	Caleb
7180	Q0	81694	0	2	Caleb
7180	Q0	71961	0	3	Caleb
7180	Q0	4029	0	4	Caleb
7180	Q0	77840	0	5	Caleb
515	Q0	6184	0	1	Caleb
515	Q0	132586	0	2	Caleb
515	Q0	518	0	3	Caleb
515	Q0	38136	0	4	Caleb
515	Q0	143307	0	5	Caleb
1033	Q0	10613	0	1	Caleb
1033	Q0	11740	0	2	Caleb
1033	Q0	91391	0	3	Caleb
1033	Q0	90791	0	4	Caleb
1033	Q0	6635	0	5	Caleb
4634	Q0	109560	0	1	Caleb
4634	Q0	82535	0	2	Caleb
4634	Q0	108955	0	3	Caleb
4634	Q0	138142	0	4	Caleb
4634	Q0	183654	0	5	Caleb
151055	Q0	178168	0	1	Caleb
151055	Q0	132586	0	2	Caleb
151055	Q0	146926	0	3	Caleb
151055	Q0	63842	0	4	Caleb
151055	Q0	121	0	5	Caleb
5149	Q0	123473	0	1	Caleb
5149	Q0	83922	0	2	Caleb
5149	Q0	3086	0	3	Caleb
5149	Q0	108404	0	4	Caleb
5149	Q0	5860	0	5	Caleb
185386	Q0	149643	0	1	Caleb
185386	Q0	93862	0	2	Caleb
185386	Q0	58882	0	3	Caleb
185386	Q0	25130	0	4	Caleb
185386	Q0	77851	0	5	Caleb
155155	Q0	106696	0	1	Caleb
155155	Q0	60046	0	2	Caleb
155155	Q0	7334	0	3	Caleb
155155	Q0	157415	0	4	Caleb
155155	Q0	132586	0	5	Caleb
27	Q0	178168	0	1	Caleb
27	Q0	121	0	2	Caleb
27	Q0	2808	0	3	Caleb
27	Q0	153179	0	4	Caleb
27	Q0	11668	0	5	Caleb
42540	Q0	118348	0	1	Caleb
42540	Q0	138210	0	2	Caleb
42540	Q0	62616	0	3	Caleb
42540	Q0	51304	0	4	Caleb
42540	Q0	100005	0	5	Caleb
48649	Q0	42993	0	1	Caleb
48649	Q0	181154	0	2	Caleb
48649	Q0	175862	0	3	Caleb
48649	Q0	2868	0	4	Caleb
48649	Q0	6733	0	5	Caleb
186406	Q0	81775	0	1	Caleb
186406	Q0	141538	0	2	Caleb
186406	Q0	130182	0	3	Caleb
186406	Q0	49961	0	4	Caleb
186406	Q0	180666	0	5	Caleb
128516	Q0	18182	0	1	Caleb
128516	Q0	117003	0	2	Caleb
128516	Q0	168387	0	3	Caleb
128516	Q0	176117	0	4	Caleb
128516	Q0	104026	0	5	Caleb
103464	Q0	5574	0	1	Caleb
103464	Q0	43771	0	2	Caleb
103464	Q0	10764	0	3	Caleb
103464	Q0	9927	0	4	Caleb
103464	Q0	143707	0	5	Caleb
56343	Q0	30885	0	1	Caleb
56343	Q0	82650	0	2	Caleb
56343	Q0	5041	0	3	Caleb
56343	Q0	25662	0	4	Caleb
56343	Q0	46935	0	5	Caleb
27693	Q0	131338	0	1	Caleb
27693	Q0	30627	0	2	Caleb
27693	Q0	4029	0	3	Caleb
27693	Q0	48464	0	4	Caleb
27693	Q0	98449	0	5	Caleb
113157	Q0	52664	0	1	Caleb
113157	Q0	59661	0	2	Caleb
113157	Q0	146977	0	3	Caleb
113157	Q0	114841	0	4	Caleb
113157	Q0	169514	0	5	Caleb
47625	Q0	137750	0	1	Caleb
47625	Q0	53984	0	2	Caleb
47625	Q0	24506	0	3	Caleb
47625	Q0	56124	0	4	Caleb
47625	Q0	79225	0	5	Caleb
163375	Q0	36494	0	1	Caleb
163375	Q0	95190	0	2	Caleb
163375	Q0	115080	0	3	Caleb
163375	Q0	179559	0	4	Caleb
163375	Q0	25130	0	5	Caleb
177203	Q0	23441	0	1	Caleb
